experience_coding,python_user,r_user,sql_user,most_used,compensation,category
18.8,False,False,False,,49478.0,< 15-20 Years
9.3,False,False,True,Scikit-learn,29139.0,5-10 Years
1.8,False,False,False,Keras,67272.0,< 5 Years
2.8,False,False,False,TensorFlow,70264.0,< 5 Years
2.4,False,False,True,Scikit-learn,264.0,< 5 Years
15.3,False,True,True,Keras,14853.0,< 15-20 Years
3.9,False,False,False,Scikit-learn,55482.0,< 5 Years
0.3,False,False,False,Scikit-learn,26.0,< 5 Years
0.8,False,False,True,,250.0,< 5 Years
0.79,False,True,False,Scikit-learn,66025.0,< 5 Years
11.1,False,False,True,,55906.0,< 10-15 Years
0.24,False,False,False,,63754.0,< 5 Years
19.7,False,False,True,TensorFlow,86855.0,< 15-20 Years
8.5,False,False,False,Keras,63242.0,5-10 Years
0.26,False,False,True,,70448.0,< 5 Years
0.75,False,False,False,Scikit-learn,68964.0,< 5 Years
24.4,False,False,True,Scikit-learn,111583.0, 25+ Years
6.8,False,False,False,Keras,52350.0,5-10 Years
4.4,False,False,True,,58574.0,< 5 Years
3.2,False,True,True,Scikit-learn,330.0,< 5 Years
0.84,False,False,True,,64478.0,< 5 Years
16.0,False,True,False,Scikit-learn,94273.0,< 15-20 Years
4.9,False,False,True,TensorFlow,62142.0,< 5 Years
8.3,False,False,True,Keras,5857.0,5-10 Years
6.6,False,False,False,Scikit-learn,194518.0,5-10 Years
4.0,False,False,False,,60873.0,< 5 Years
23.9,False,False,True,,55584.0, 25+ Years
27.0,False,False,False,PyTorch,949.0, 25+ Years
0.91,False,False,False,,27748.0,< 5 Years
2.2,False,False,True,,239.0,< 5 Years
13.9,False,False,True,,120047.0,< 10-15 Years
3.4,False,False,False,,332.0,< 5 Years
1.4,False,True,True,Scikit-learn,51428.0,< 5 Years
6.6,False,False,True,Scikit-learn,256063.0,5-10 Years
2.6,False,False,True,Scikit-learn,50783.0,< 5 Years
8.5,False,True,True,Keras,109423.0,5-10 Years
28.2,False,False,True,Scikit-learn,85525.0, 25+ Years
2.7,False,False,False,Scikit-learn,226.0,< 5 Years
8.6,False,False,False,Scikit-learn,13056.0,5-10 Years
2.9,False,False,False,Scikit-learn,8015.0,< 5 Years
2.6,False,False,True,Scikit-learn,450.0,< 5 Years
7.5,False,False,True,,55219.0,5-10 Years
1.3,False,False,False,Scikit-learn,348.0,< 5 Years
16.2,False,False,False,,53685.0,< 15-20 Years
2.7,False,False,False,TensorFlow,59456.0,< 5 Years
1.8,False,False,False,Scikit-learn,62821.0,< 5 Years
7.1,False,False,False,PyTorch,13478.0,5-10 Years
1.9,False,False,False,,59666.0,< 5 Years
0.41,False,True,True,Scikit-learn,57673.0,< 5 Years
2.3,False,True,False,Scikit-learn,29472.0,< 5 Years
11.8,False,True,True,PyTorch,276659.0,< 10-15 Years
4.0,False,False,True,Scikit-learn,5119.0,< 5 Years
5.4,False,False,True,Scikit-learn,27631.0,5-10 Years
3.8,False,False,False,,282.0,< 5 Years
5.7,False,False,False,Scikit-learn,34238.0,5-10 Years
0.0,False,False,False,,106203.0,< 5 Years
0.0,False,False,False,,74289.0,< 5 Years
21.4,False,False,True,Scikit-learn,226171.0, 25+ Years
2.5,False,False,False,TensorFlow,74445.0,< 5 Years
7.6,False,True,False,TensorFlow,67863.0,5-10 Years
22.8,False,False,True,,65871.0, 25+ Years
1.7,False,False,True,,67736.0,< 5 Years
2.6,False,False,True,Scikit-learn,785.0,< 5 Years
2.1,False,False,False,Scikit-learn,28073.0,< 5 Years
1.9,False,False,True,TensorFlow,20390.0,< 5 Years
3.2,False,False,False,Scikit-learn,4791.0,< 5 Years
7.2,False,False,True,,16059.0,5-10 Years
14.1,False,False,False,Keras,62115.0,< 10-15 Years
1.9,False,False,False,Scikit-learn,73319.0,< 5 Years
0.93,False,False,False,,44491.0,< 5 Years
9.6,False,False,False,,74588.0,5-10 Years
1.4,False,True,False,,74799.0,< 5 Years
0.45,False,False,False,,57207.0,< 5 Years
3.2,False,False,False,Keras,14370.0,< 5 Years
1.0,False,False,True,Scikit-learn,57816.0,< 5 Years
4.4,False,False,False,TensorFlow,62513.0,< 5 Years
17.7,False,False,False,Keras,61763.0,< 15-20 Years
8.7,False,True,False,,50427.0,5-10 Years
28.9,False,True,True,Scikit-learn,1129.0, 25+ Years
0.58,False,False,False,,59687.0,< 5 Years
1.3,False,False,False,,67959.0,< 5 Years
11.3,False,True,False,,62849.0,< 10-15 Years
3.1,False,False,True,Scikit-learn,1337.0,< 5 Years
2.5,False,False,False,Keras,72317.0,< 5 Years
5.9,False,False,True,Keras,31044.0,5-10 Years
2.7,False,False,True,Keras,66163.0,< 5 Years
1.1,False,False,True,Scikit-learn,11165.0,< 5 Years
16.5,False,True,False,Scikit-learn,68871.0,< 15-20 Years
7.5,False,False,True,Keras,22332.0,5-10 Years
25.2,False,True,False,Scikit-learn,6196.0, 25+ Years
0.88,False,False,False,,388.0,< 5 Years
0.6,False,False,False,Scikit-learn,12925.0,< 5 Years
4.1,False,False,True,Scikit-learn,3092.0,< 5 Years
8.2,False,False,False,PyTorch,8880.0,5-10 Years
5.7,False,False,False,PyTorch,65433.0,5-10 Years
0.49,False,False,False,Scikit-learn,13423.0,< 5 Years
2.6,False,False,False,Scikit-learn,4704.0,< 5 Years
2.2,False,False,False,Keras,740.0,< 5 Years
9.2,False,False,False,Scikit-learn,64640.0,5-10 Years
4.0,False,False,True,Scikit-learn,63.0,< 5 Years
28.6,False,False,True,,79687.0, 25+ Years
0.6,False,False,False,Scikit-learn,63155.0,< 5 Years
2.9,False,False,True,,54825.0,< 5 Years
29.7,False,False,False,TensorFlow,61352.0, 25+ Years
1.7,False,False,False,,64184.0,< 5 Years
24.0,False,False,True,Keras,130578.0, 25+ Years
1.7,False,False,False,PyTorch,57821.0,< 5 Years
0.66,False,True,True,,52061.0,< 5 Years
3.2,False,False,True,Scikit-learn,2279.0,< 5 Years
2.2,False,True,False,Scikit-learn,73945.0,< 5 Years
0.97,False,False,False,TensorFlow,62225.0,< 5 Years
0.73,False,False,False,,52153.0,< 5 Years
6.1,False,False,True,Keras,32815.0,5-10 Years
3.3,False,False,True,PyTorch,178.0,< 5 Years
0.34,False,False,False,Scikit-learn,553.0,< 5 Years
5.3,False,False,True,TensorFlow,64796.0,5-10 Years
0.93,False,False,False,Scikit-learn,51701.0,< 5 Years
4.3,False,False,False,,70917.0,< 5 Years
2.7,False,False,False,,1672.0,< 5 Years
1.4,False,False,True,,561.0,< 5 Years
13.7,False,False,True,,64214.0,< 10-15 Years
3.6,False,False,True,Scikit-learn,32809.0,< 5 Years
1.5,False,False,True,Scikit-learn,61430.0,< 5 Years
0.42,False,False,True,TensorFlow,2852.0,< 5 Years
29.1,False,False,True,Scikit-learn,124867.0, 25+ Years
23.9,False,False,True,Scikit-learn,55354.0, 25+ Years
0.0,False,False,False,,341.0,< 5 Years
2.2,False,False,True,Scikit-learn,3241.0,< 5 Years
10.0,False,False,True,Keras,114569.0,< 10-15 Years
0.93,False,True,True,,5068.0,< 5 Years
9.2,False,False,True,TensorFlow,53406.0,5-10 Years
15.1,False,True,True,PyTorch,67586.0,< 15-20 Years
14.6,False,False,False,PyTorch,368.0,< 10-15 Years
1.8,False,False,False,PyTorch,66719.0,< 5 Years
9.6,False,True,True,,61028.0,5-10 Years
3.2,False,False,False,TensorFlow,380.0,< 5 Years
2.4,False,False,True,Scikit-learn,104.0,< 5 Years
1.9,False,False,False,PyTorch,57262.0,< 5 Years
0.98,False,False,False,,72756.0,< 5 Years
16.7,False,False,True,Scikit-learn,117471.0,< 15-20 Years
6.6,False,False,True,,948.0,5-10 Years
1.6,False,False,False,TensorFlow,3458.0,< 5 Years
3.7,False,True,False,TensorFlow,62798.0,< 5 Years
2.7,False,False,False,,59402.0,< 5 Years
0.53,False,False,False,Scikit-learn,54542.0,< 5 Years
0.77,False,True,False,Scikit-learn,69584.0,< 5 Years
0.76,False,False,True,TensorFlow,2762.0,< 5 Years
0.73,False,False,False,,51493.0,< 5 Years
0.34,False,False,True,Keras,397.0,< 5 Years
24.7,False,False,False,Keras,268277.0, 25+ Years
1.4,False,True,True,Scikit-learn,13504.0,< 5 Years
11.7,False,False,False,Scikit-learn,236436.0,< 10-15 Years
3.9,False,False,True,Scikit-learn,69429.0,< 5 Years
15.0,False,True,True,Scikit-learn,183614.0,< 15-20 Years
4.7,False,False,False,Scikit-learn,62053.0,< 5 Years
0.41,False,False,False,,20029.0,< 5 Years
0.0,False,False,False,,64.0,< 5 Years
2.3,False,False,True,,55068.0,< 5 Years
2.2,False,True,True,Keras,2756.0,< 5 Years
1.0,False,False,False,Keras,68080.0,< 5 Years
1.9,False,False,True,,51110.0,< 5 Years
0.44,False,False,False,Scikit-learn,6055.0,< 5 Years
0.0,False,False,False,,566.0,< 5 Years
2.9,False,False,True,,57222.0,< 5 Years
29.0,False,True,False,TensorFlow,30662.0, 25+ Years
12.0,False,False,False,,57836.0,< 10-15 Years
3.2,False,False,False,TensorFlow,8651.0,< 5 Years
3.2,False,False,False,PyTorch,50354.0,< 5 Years
1.5,False,False,False,TensorFlow,67366.0,< 5 Years
1.8,False,False,True,,3181.0,< 5 Years
0.75,False,False,False,Keras,50292.0,< 5 Years
20.1,False,True,False,,26892.0, 25+ Years
19.2,False,False,False,PyTorch,70349.0,< 15-20 Years
8.7,False,True,True,Scikit-learn,11195.0,5-10 Years
0.0,False,False,False,,51080.0,< 5 Years
4.9,False,False,False,,9638.0,< 5 Years
21.5,False,False,False,Scikit-learn,441.0, 25+ Years
1.6,False,False,False,TensorFlow,15222.0,< 5 Years
0.37,False,False,False,PyTorch,748.0,< 5 Years
17.4,False,False,False,Scikit-learn,65215.0,< 15-20 Years
4.6,False,False,False,Keras,25696.0,< 5 Years
5.2,False,False,False,Scikit-learn,54268.0,5-10 Years
9.5,False,False,True,PyTorch,62430.0,5-10 Years
1.2,False,True,True,,57599.0,< 5 Years
2.0,False,False,False,,61169.0,< 5 Years
2.5,False,False,False,Scikit-learn,72278.0,< 5 Years
1.6,False,False,False,,56628.0,< 5 Years
1.7,False,True,True,Scikit-learn,58598.0,< 5 Years
18.3,False,False,True,,104890.0,< 15-20 Years
6.1,False,False,True,TensorFlow,70778.0,5-10 Years
0.48,False,False,False,Scikit-learn,1920.0,< 5 Years
2.9,False,True,True,Scikit-learn,64650.0,< 5 Years
2.9,False,False,True,Scikit-learn,61957.0,< 5 Years
1.6,False,True,False,PyTorch,280.0,< 5 Years
2.4,False,False,True,,53807.0,< 5 Years
5.1,False,True,False,Scikit-learn,4278.0,5-10 Years
0.43,False,False,True,,62815.0,< 5 Years
0.81,False,True,True,Scikit-learn,55603.0,< 5 Years
10.5,False,False,False,,45474.0,< 10-15 Years
0.22,False,True,True,,59812.0,< 5 Years
1.8,False,False,True,Keras,10176.0,< 5 Years
9.1,False,True,True,TensorFlow,3449.0,5-10 Years
4.3,False,False,False,Keras,330.0,< 5 Years
7.7,False,False,False,,50545.0,5-10 Years
8.1,False,True,False,TensorFlow,303.0,5-10 Years
4.1,False,True,False,Keras,64186.0,< 5 Years
1.7,False,True,False,,1426.0,< 5 Years
1.4,False,False,False,Scikit-learn,750.0,< 5 Years
22.9,False,False,True,TensorFlow,74868.0, 25+ Years
18.5,False,False,True,Scikit-learn,26708.0,< 15-20 Years
2.2,False,False,True,PyTorch,64493.0,< 5 Years
0.42,False,True,True,TensorFlow,79.0,< 5 Years
24.1,False,False,True,,72549.0, 25+ Years
5.8,False,False,True,Keras,28039.0,5-10 Years
0.93,False,False,False,,59061.0,< 5 Years
4.8,False,False,False,Scikit-learn,69723.0,< 5 Years
2.6,False,False,True,Scikit-learn,69452.0,< 5 Years
3.1,False,False,True,Keras,22665.0,< 5 Years
4.0,False,False,False,Scikit-learn,214.0,< 5 Years
9.9,False,False,False,Scikit-learn,2355.0,5-10 Years
7.2,False,True,True,Keras,162385.0,5-10 Years
5.4,False,False,True,TensorFlow,5871.0,5-10 Years
8.3,False,False,True,TensorFlow,853.0,5-10 Years
2.9,False,False,True,PyTorch,3929.0,< 5 Years
0.54,False,False,True,Scikit-learn,58863.0,< 5 Years
0.55,False,False,False,TensorFlow,8009.0,< 5 Years
0.0,False,False,False,,68498.0,< 5 Years
0.36,False,False,False,,1948.0,< 5 Years
1.0,False,False,True,PyTorch,69648.0,< 5 Years
6.3,False,True,True,,74877.0,5-10 Years
2.3,False,False,False,Keras,65598.0,< 5 Years
0.68,False,False,True,,54524.0,< 5 Years
1.6,False,False,True,Keras,66262.0,< 5 Years
0.0,False,False,False,,4427.0,< 5 Years
0.58,False,False,False,,31841.0,< 5 Years
0.85,False,False,False,,54481.0,< 5 Years
2.9,False,False,True,Scikit-learn,57717.0,< 5 Years
3.4,False,True,True,Scikit-learn,25721.0,< 5 Years
25.4,False,False,True,Scikit-learn,64217.0, 25+ Years
8.8,False,False,True,TensorFlow,2203.0,5-10 Years
5.5,False,True,False,TensorFlow,62142.0,5-10 Years
4.2,False,False,True,Scikit-learn,12573.0,< 5 Years
14.2,False,False,True,TensorFlow,13212.0,< 10-15 Years
2.8,False,False,False,Scikit-learn,71758.0,< 5 Years
5.2,False,False,False,,4306.0,5-10 Years
1.6,False,False,True,Scikit-learn,835.0,< 5 Years
1.3,False,False,False,Scikit-learn,601.0,< 5 Years
4.9,False,True,True,Scikit-learn,61209.0,< 5 Years
0.0,False,False,False,,365.0,< 5 Years
0.4,False,False,False,,702.0,< 5 Years
0.93,False,True,True,,67436.0,< 5 Years
2.4,False,False,False,Keras,73296.0,< 5 Years
10.7,False,False,False,TensorFlow,63999.0,< 10-15 Years
2.1,False,False,True,Keras,58760.0,< 5 Years
2.4,False,True,True,Scikit-learn,70522.0,< 5 Years
14.8,False,True,True,,78489.0,< 10-15 Years
3.5,False,False,True,,59768.0,< 5 Years
21.8,False,True,False,Scikit-learn,53040.0, 25+ Years
4.3,False,True,True,Scikit-learn,1894.0,< 5 Years
12.9,False,False,False,Scikit-learn,124879.0,< 10-15 Years
2.5,False,True,True,PyTorch,98886.0,< 5 Years
0.96,False,False,False,PyTorch,797.0,< 5 Years
1.9,False,True,False,,67900.0,< 5 Years
21.7,False,False,True,PyTorch,169111.0, 25+ Years
0.27,False,True,False,,69490.0,< 5 Years
16.8,False,False,False,PyTorch,18059.0,< 15-20 Years
1.8,False,False,False,,61535.0,< 5 Years
27.8,False,True,False,TensorFlow,279.0, 25+ Years
1.0,False,True,False,Scikit-learn,4951.0,< 5 Years
8.2,False,False,True,Scikit-learn,675.0,5-10 Years
2.5,False,True,True,,66662.0,< 5 Years
2.2,False,False,True,Scikit-learn,5345.0,< 5 Years
1.3,False,False,False,Scikit-learn,15827.0,< 5 Years
7.1,False,True,True,Scikit-learn,268.0,5-10 Years
10.0,False,False,False,,63128.0,< 10-15 Years
0.95,False,False,False,Scikit-learn,51943.0,< 5 Years
6.3,False,True,False,,7606.0,5-10 Years
1.8,False,False,True,TensorFlow,55361.0,< 5 Years
0.29,False,False,False,,2284.0,< 5 Years
4.9,False,True,False,Scikit-learn,13232.0,< 5 Years
0.73,False,False,False,Scikit-learn,70.0,< 5 Years
3.7,False,False,False,Scikit-learn,51162.0,< 5 Years
5.1,False,False,True,Scikit-learn,24490.0,5-10 Years
1.9,False,False,False,TensorFlow,58763.0,< 5 Years
0.21,False,True,True,,57140.0,< 5 Years
0.36,False,False,False,,53937.0,< 5 Years
9.9,False,True,True,Keras,10720.0,5-10 Years
1.3,False,False,True,,55375.0,< 5 Years
13.1,False,False,True,TensorFlow,9526.0,< 10-15 Years
0.33,False,False,False,Scikit-learn,74828.0,< 5 Years
2.8,False,True,False,Scikit-learn,584.0,< 5 Years
1.4,False,False,False,TensorFlow,42097.0,< 5 Years
2.7,False,False,False,Keras,62804.0,< 5 Years
1.7,False,False,False,,4296.0,< 5 Years
1.1,False,False,False,Scikit-learn,60567.0,< 5 Years
5.6,False,True,True,,102894.0,5-10 Years
0.7,False,True,True,,29160.0,< 5 Years
0.73,False,True,True,Scikit-learn,1491.0,< 5 Years
2.8,False,False,False,Keras,614.0,< 5 Years
9.4,False,False,True,Keras,37053.0,5-10 Years
2.4,False,False,True,PyTorch,181179.0,< 5 Years
3.0,False,False,False,,55377.0,< 5 Years
8.4,False,False,True,Scikit-learn,6947.0,5-10 Years
3.4,False,False,True,Scikit-learn,21934.0,< 5 Years
0.64,False,False,True,,65.0,< 5 Years
1.4,False,False,True,,57123.0,< 5 Years
2.0,False,False,True,Scikit-learn,1943.0,< 5 Years
2.2,False,False,False,Keras,67032.0,< 5 Years
3.8,False,False,True,,63358.0,< 5 Years
3.2,False,False,False,Scikit-learn,28.0,< 5 Years
0.95,False,False,False,Scikit-learn,3519.0,< 5 Years
2.6,False,True,False,,356.0,< 5 Years
14.2,False,False,False,TensorFlow,158644.0,< 10-15 Years
0.64,False,False,False,Scikit-learn,7226.0,< 5 Years
16.7,False,False,True,Scikit-learn,12915.0,< 15-20 Years
0.83,False,True,True,PyTorch,73268.0,< 5 Years
2.9,False,False,True,,57188.0,< 5 Years
0.49,False,False,False,Scikit-learn,102.0,< 5 Years
19.6,False,False,True,Scikit-learn,3032.0,< 15-20 Years
1.1,False,False,False,,123071.0,< 5 Years
0.57,False,False,True,PyTorch,250388.0,< 5 Years
2.1,False,False,True,TensorFlow,70915.0,< 5 Years
2.4,False,False,True,,201.0,< 5 Years
16.9,False,True,True,,246015.0,< 15-20 Years
2.9,False,False,False,TensorFlow,11378.0,< 5 Years
9.0,False,True,False,Scikit-learn,303.0,5-10 Years
3.5,False,False,False,TensorFlow,50638.0,< 5 Years
0.91,False,False,True,Scikit-learn,20749.0,< 5 Years
6.4,False,False,False,,521.0,5-10 Years
7.0,False,False,True,TensorFlow,17911.0,5-10 Years
2.0,False,False,True,,70675.0,< 5 Years
0.56,False,False,False,PyTorch,70432.0,< 5 Years
0.67,False,False,False,Scikit-learn,78601.0,< 5 Years
0.69,False,True,True,Scikit-learn,1282.0,< 5 Years
9.1,False,True,False,TensorFlow,99399.0,5-10 Years
1.8,False,False,False,PyTorch,1503.0,< 5 Years
1.2,False,False,True,Keras,53171.0,< 5 Years
9.6,False,False,False,,57165.0,5-10 Years
16.6,False,True,True,Scikit-learn,25114.0,< 15-20 Years
1.1,False,False,False,Keras,26960.0,< 5 Years
9.0,False,False,False,Scikit-learn,60063.0,5-10 Years
0.0,False,False,False,,610.0,< 5 Years
4.5,False,False,False,Keras,69739.0,< 5 Years
0.0,False,False,False,,3134.0,< 5 Years
6.8,False,False,True,Scikit-learn,66837.0,5-10 Years
0.54,False,False,True,Scikit-learn,55165.0,< 5 Years
3.6,False,False,False,Keras,988.0,< 5 Years
14.6,False,False,False,,55580.0,< 10-15 Years
17.0,False,True,True,TensorFlow,76201.0,< 15-20 Years
0.67,False,False,False,Keras,64966.0,< 5 Years
0.92,False,True,False,,6350.0,< 5 Years
0.7,False,False,False,TensorFlow,74951.0,< 5 Years
6.0,False,True,False,Keras,51312.0,5-10 Years
0.36,False,True,False,,666.0,< 5 Years
5.1,False,True,True,Scikit-learn,293904.0,5-10 Years
4.8,False,False,True,PyTorch,106322.0,< 5 Years
0.43,False,False,False,,60814.0,< 5 Years
0.39,False,False,False,,70572.0,< 5 Years
0.88,False,False,True,Scikit-learn,68837.0,< 5 Years
0.55,False,False,True,Scikit-learn,62093.0,< 5 Years
0.62,False,False,True,,54114.0,< 5 Years
2.8,False,False,True,PyTorch,979.0,< 5 Years
0.96,False,True,False,Scikit-learn,2235.0,< 5 Years
1.4,False,False,False,Keras,3303.0,< 5 Years
25.8,False,False,False,Scikit-learn,71650.0, 25+ Years
1.5,False,False,False,,5145.0,< 5 Years
0.98,False,False,False,,56213.0,< 5 Years
3.3,False,False,False,,57850.0,< 5 Years
2.1,False,False,False,Scikit-learn,62878.0,< 5 Years
4.6,False,True,False,Scikit-learn,53195.0,< 5 Years
9.6,False,False,True,TensorFlow,2312.0,5-10 Years
1.3,False,True,True,,163016.0,< 5 Years
0.26,False,False,False,TensorFlow,80274.0,< 5 Years
9.6,False,True,False,,34215.0,5-10 Years
2.3,False,False,False,Scikit-learn,68870.0,< 5 Years
1.7,False,False,True,TensorFlow,245.0,< 5 Years
11.1,False,False,True,Scikit-learn,92681.0,< 10-15 Years
3.3,False,False,False,Scikit-learn,72998.0,< 5 Years
0.84,False,False,False,,61803.0,< 5 Years
3.7,False,False,False,Scikit-learn,269443.0,< 5 Years
1.5,False,False,True,,58537.0,< 5 Years
1.9,False,True,True,Scikit-learn,160989.0,< 5 Years
2.9,False,False,True,Keras,21386.0,< 5 Years
25.3,False,False,False,Keras,262267.0, 25+ Years
